Scope,DF_index,Method,R2_score,RMSE_score,MAE_score,Correlation_score,Peak_accuracy,Residual_stability
DF_1,1,RandomForest,0.9998578733412293,0.9971117254075302,0.9980630560831608,0.9999445618699876,0.9982372336358544,0.9891941670514421
DF_1,1,LinearRegression,0.995124450096568,0.9839941281951492,0.9884318267027918,0.9985178166443172,0.9862490841420446,0.9511233511341657
DF_2,2,RandomForest,0.9998640945426651,0.99704243219438,0.9979700946725099,0.9999379793331739,0.996133571485268,0.9898756089393401
DF_2,2,LinearRegression,0.9953539202359019,0.9847013350651856,0.9875542452914935,0.9982737652682294,0.9907146294919096,0.9518458879551632
DF_3,3,RandomForest,0.9995606715406987,0.9950365272211132,0.9968924659805511,0.9998393035135719,0.9925918612804209,0.984183137052398
DF_3,3,LinearRegression,0.9850467626832186,0.9731863940504004,0.980197781590509,0.995895180468622,0.9691119972250045,0.9236798861331099
DF_4,4,RandomForest,0.9996043502440755,0.9960113607095932,0.9971448068828657,0.9998496690662897,0.997614206392472,0.9847713082165057
DF_4,4,LinearRegression,0.9866355613511418,0.9806923520579448,0.9837433462826195,0.9944979738728078,0.9927097767932496,0.9309570347632474
DF_5,5,RandomForest,0.9998806613371775,0.9974037209037769,0.9982835585762988,0.9999472794948304,0.9965876901792999,0.9900913917586242
DF_5,5,LinearRegression,0.9955721894336798,0.98546296163744,0.9878828571756064,0.9991012948900565,0.9850788620261256,0.955882164054813
DF_6,6,RandomForest,0.9994069298921129,0.9942966173833674,0.9967065055543741,0.9997552501771197,0.996818428055615,0.9791030224257309
DF_6,6,LinearRegression,0.9934528969508172,0.9813543730396209,0.9861263811472405,0.9973847323020095,0.9885230141821462,0.9358385478745637
DF_7,7,RandomForest,0.9998082465668767,0.9970265232099638,0.9980724126785863,0.9999337387902112,0.9902311495929657,0.9869397956266094
DF_7,7,LinearRegression,0.9937049797383914,0.9836743609832863,0.986712039433454,0.9977186950548114,0.9976330532881693,0.9361939694046603
DF_8,8,RandomForest,0.9998717157671664,0.99753054037881,0.9984320880602784,0.9999394978069674,0.9970989137259876,0.9897501980292268
DF_8,8,LinearRegression,0.9950502084056823,0.9858003018531164,0.9889803828698552,0.9983904894794294,0.9925862716379595,0.9483850036914074
DF_9,9,RandomForest,0.9991411206700905,0.9935468492353623,0.9956955925891132,0.9998057590459136,0.9843305083911299,0.9797827266639518
DF_9,9,LinearRegression,0.9868300295366053,0.9748596515913704,0.9784518465124341,0.9963541200172635,0.9681052313832388,0.9295755796155396
DF_10,10,RandomForest,0.9998687771830013,0.9972734248972619,0.9983431220367475,0.9999441598991569,0.9965901177399135,0.9893085187675871
DF_10,10,LinearRegression,0.9949854009329935,0.9842366607402793,0.9896526420693551,0.9981808532200878,0.989331980251807,0.9421458864635646
Overall,All,RandomForest,0.9996864441085094,0.9962279721541158,0.9975603703114485,0.9998897198997222,0.9946233680478926,0.9862999874531416
Overall,All,LinearRegression,0.9921756399365,0.9817962519213793,0.985773334907536,0.9974314921217635,0.9860043900421654,0.9405627311090233
