,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
60,1.7575706834752486e-05,8.631709333333152e-06,0.9994686908511942,,,
80,1.8467204027758258e-05,8.840541333333447e-06,0.999412104915221,,,
100,7.310303324377817e-05,3.724896053333356e-05,0.9899092531697398,,,
aggregate,,,,3.638198136876297e-05,1.8240403733333388e-05,0.996263349645385
