DF_index,RMSE_mean,MAE_mean,R2_mean
1,3.380330115085331e-05,1.8080040711111053e-05,0.9956991260622714
2,3.638198136876297e-05,1.8240403733333384e-05,0.996263349645385
3,1.753687090898233e-05,9.346583644444265e-06,0.9990934376354362
