,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
60,1.0007880604536544e-05,4.4344954666662e-06,0.9997999016394833,,,
80,9.837761443074548e-06,5.172021333333565e-06,0.9997902459881168,,,
100,3.2764970679335894e-05,1.8433234133333043e-05,0.9976901652787087,,,
aggregate,,,,1.7536870908982328e-05,9.34658364444427e-06,0.9990934376354362
