,Ytrue_0,Ytrue_1,Ytrue_2,Ypred_0,Ypred_1,Ypred_2
Ytrue_0,1.0,0.999270031311187,0.9986873632237908,0.9993339697349938,0.9989325819317033,0.9987037949017493
Ytrue_1,0.999270031311187,1.0,0.999853035320095,0.9988301046565479,0.9994217506768419,0.9995081111723206
Ytrue_2,0.9986873632237908,0.999853035320095,1.0,0.9980872149191665,0.999002168212944,0.9992625344435453
Ypred_0,0.9993339697349938,0.9988301046565479,0.9980872149191665,1.0,0.9995656401569056,0.9992102181947173
Ypred_1,0.9989325819317033,0.9994217506768419,0.999002168212944,0.9995656401569056,1.0,0.9999194929892108
Ypred_2,0.9987037949017493,0.9995081111723206,0.9992625344435453,0.9992102181947173,0.9999194929892108,1.0
