method,RMSE_mean,MAE_mean,R2_mean
RandomForest,2.3162294451974714e-05,1.3211182577777994e-05,0.998674717076899
LinearRegression,1.0779282932434432e-05,8.284636650455029e-06,0.9996940369214057
