method,RMSE_mean,MAE_mean,R2_mean
RandomForest,2.752017547285806e-05,1.6613365155555575e-05,0.9977330402904306
LinearRegression,4.38852910921101e-05,3.2333486409960755e-05,0.9938510784934692
