,Ytrue_0,Ytrue_1,Ytrue_2,Ypred_0,Ypred_1,Ypred_2
Ytrue_0,1.0,0.9852952712894434,0.8815197744694047,0.997606862532284,0.990254108902283,0.9269556168342395
Ytrue_1,0.9852952712894434,1.0,0.90999974161106,0.9823651136428135,0.9938178604359027,0.9447237869844853
Ytrue_2,0.8815197744694047,0.90999974161106,1.0,0.8803235479298485,0.9053242893571964,0.972683103178972
Ypred_0,0.997606862532284,0.9823651136428135,0.8803235479298485,1.0,0.992420474830216,0.9290089060848076
Ypred_1,0.990254108902283,0.9938178604359027,0.9053242893571964,0.992420474830216,1.0,0.9495169787365249
Ypred_2,0.9269556168342395,0.9447237869844853,0.972683103178972,0.9290089060848076,0.9495169787365249,1.0
