,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
60,8.402890154280222e-06,4.653615466666806e-06,0.9998852911109378,,,
80,1.1657002702238668e-05,5.809866666667053e-06,0.999796343435655,,,
100,1.5415134727490832e-05,7.258666666666927e-06,0.9996062873980714,,,
aggregate,,,,1.1825009194669909e-05,5.907382933333595e-06,0.9997626406482215
