Scope,DF_index,Method,R2_score,RMSE_score,MAE_score,Correlation_score,Peak_accuracy,Residual_stability
DF_1,1,RandomForest,0.9956991260622714,0.9830395463901193,0.9908560955580995,0.9979657091376586,0.9808754876124063,0.9419859245843197
DF_1,1,LinearRegression,0.928076069325952,0.9355458611319799,0.9521631063488717,0.9695377854866769,0.9551283354248552,0.809901430089124
DF_2,2,RandomForest,0.996263349645385,0.9875795737889367,0.993724358281443,0.9983257520109531,0.9920420719808053,0.9548096944423822
DF_2,2,LinearRegression,0.9233130152074956,0.9509844897876482,0.9645666571275026,0.9641401563665712,0.9727162854353427,0.848255541741799
DF_3,3,RandomForest,0.9990934376354362,0.9927117590168919,0.9960931107529843,0.9997086281726565,0.9995860106373634,0.9774996386566325
DF_3,3,LinearRegression,0.9742479780376501,0.9626249981858161,0.9740266774654903,0.9945812063672527,0.9666598798998903,0.9044477959056237
Overall,All,RandomForest,0.9970186377810308,0.9877769597319827,0.9935578548641756,0.9986666964404227,0.9908345234101916,0.958098419227778
Overall,All,LinearRegression,0.9418790208570326,0.9497184497018147,0.9635854803139549,0.976086382740167,0.964834833586696,0.8542015892455156
