Scope,DF_index,Method,RMSE,MAE,R2,Pearson_r,NRMSE,NMAE,Peak_accuracy_raw,Residual_std_ratio
DF_1,1,RandomForest,3.380330115085331e-05,1.8080040711111053e-05,0.9956991260622714,0.9979657091376586,0.017283868595533547,0.009236737557017377,0.9808754876124063,0.061956819238244344
DF_1,1,LinearRegression,0.00013553452134884802,9.864291132642591e-05,0.928076069325952,0.9695377854866769,0.06950599002768444,0.05060970918118148,0.9551283354248552,0.2408111378956089
DF_2,2,RandomForest,3.638198136876297e-05,1.8240403733333384e-05,0.996263349645385,0.9983257520109531,0.012647703868918232,0.0063345612699768,0.9920420719808053,0.048542261600983266
DF_2,2,LinearRegression,0.00015417514992759076,0.00010844704876533116,0.9233130152074956,0.9641401563665712,0.05326772191726125,0.037526445855136085,0.9727162854353427,0.20356959117576445
DF_3,3,RandomForest,1.753687090898233e-05,9.346583644444265e-06,0.9990934376354362,0.9997086281726565,0.007362601954952433,0.003929665213172968,0.9995860106373634,0.023193031959234712
DF_3,3,LinearRegression,9.356488926922991e-05,6.395435089586264e-05,0.9742479780376501,0.9945812063672527,0.03938605099166484,0.026918297945633534,0.9666598798998903,0.10990010448981984
Overall,All,RandomForest,2.9240717809532867e-05,1.5222342696296236e-05,0.9970186377810308,0.9986666964404227,0.012431391473134738,0.006500321346722381,0.9908345234101916,0.04456403759948744
Overall,All,LinearRegression,0.00012775818684855625,9.034810366253989e-05,0.9418790208570326,0.976086382740167,0.05405325431220351,0.03835148432731703,0.964834833586696,0.18476027785373106
