method,RMSE_mean,MAE_mean,R2_mean
RandomForest,2.2636303720165305e-05,1.2902181164021279e-05,0.9989127608018936
LinearRegression,1.0475994626727685e-05,8.456496030334119e-06,0.9997400034734798
