,Ytrue_0,Ytrue_1,Ytrue_2,Ypred_0,Ypred_1,Ypred_2
Ytrue_0,1.0,0.9993856078638863,0.9993859346890193,0.9995722034596384,0.9993819639281933,0.9994092374470324
Ytrue_1,0.9993856078638863,1.0,0.9997262343306211,0.9986418733431421,0.9994336239460384,0.9992729758489924
Ytrue_2,0.9993859346890193,0.9997262343306211,1.0,0.9985714550668341,0.9991958011398008,0.9993702198521272
Ypred_0,0.9995722034596384,0.9986418733431421,0.9985714550668341,1.0,0.9995298890001969,0.9995574434719919
Ypred_1,0.9993819639281933,0.9994336239460384,0.9991958011398008,0.9995298890001969,1.0,0.9998455151844289
Ypred_2,0.9994092374470324,0.9992729758489924,0.9993702198521272,0.9995574434719919,0.9998455151844289,1.0
