y_true,y_pred,residual
0.00132,0.0013223333333333305,-2.333333333330535e-06
0.00136,0.001357900000000003,2.0999999999970695e-06
0.00139,0.0014048666666666685,-1.4866666666668582e-05
0.00131,0.0013086999999999997,1.3000000000003026e-06
0.00134,0.0013451333333333356,-5.13333333333559e-06
0.00138,0.001389000000000001,-9.000000000000978e-06
0.00129,0.0013023333333333355,-1.2333333333335549e-05
0.00133,0.0013380333333333353,-8.033333333335281e-06
0.00136,0.0013818333333333313,-2.183333333333117e-05
0.00128,0.001279400000000002,5.999999999981714e-07
0.00132,0.0013150333333333296,4.966666666670347e-06
0.00135,0.0013589000000000025,-8.900000000002439e-06
0.00127,0.0012729333333333323,-2.933333333332176e-06
0.0013,0.001307899999999999,-7.899999999999054e-06
0.00134,0.001350333333333336,-1.0333333333335934e-05
0.00126,0.0012601333333333293,-1.3333333332928889e-07
0.00129,0.0012929000000000065,-2.90000000000663e-06
0.00133,0.0013383333333333344,-8.333333333334367e-06
0.00125,0.001253266666666663,-3.266666666662879e-06
0.00128,0.001287033333333339,-7.033333333338835e-06
0.00132,0.0013313666666666657,-1.1366666666665732e-05
0.00124,0.0012497333333333304,-9.73333333333039e-06
0.00128,0.001283966666666671,-3.966666666670865e-06
0.00131,0.0013294333333333332,-1.943333333333328e-05
0.00123,0.0012342666666666697,-4.266666666669734e-06
0.00127,0.001269499999999999,5.000000000011506e-07
0.0013,0.001310666666666663,-1.0666666666663167e-05
0.00123,0.001224433333333335,5.566666666665049e-06
0.00126,0.0012578666666666616,2.133333333338445e-06
0.0013,0.0013001333333333396,-1.3333333333969723e-07
0.00122,0.0012176333333333309,2.3666666666690914e-06
0.00125,0.001252199999999993,-2.199999999993006e-06
0.00129,0.0012897000000000058,2.999999999940984e-07
0.00121,0.0012164333333333306,-6.433333333330689e-06
0.00125,0.0012489333333333293,1.0666666666707403e-06
0.00128,0.0012892333333333404,-9.233333333340298e-06
0.00121,0.0012046666666666627,5.3333333333372215e-06
0.00124,0.0012383666666666688,1.6333333333312227e-06
0.00128,0.0012768666666666665,3.13333333333359e-06
0.0012,0.001202799999999997,-2.7999999999970323e-06
0.00123,0.0012359666666666707,-5.966666666670697e-06
0.00127,0.0012757666666666668,-5.76666666666668e-06
0.0012,0.0011985666666666662,1.4333333333337115e-06
0.00123,0.001230866666666671,-8.666666666710607e-07
0.00127,0.001271399999999997,-1.3999999999968898e-06
0.00119,0.0011959666666666675,-5.966666666667444e-06
0.00122,0.001227933333333337,-7.93333333333696e-06
0.00126,0.0012678333333333285,-7.833333333328446e-06
0.00119,0.0011901333333333357,-1.3333333333557726e-07
0.00122,0.0012212666666666665,-1.2666666666665168e-06
0.00126,0.0012614666666666626,-1.46666666666251e-06
0.00118,0.0011842000000000005,-4.200000000000427e-06
0.00122,0.0012172333333333306,2.766666666669318e-06
