,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,4.328368224221044e-06,2.376597333333371e-06,0.999949286463072,,,
120,5.357896897518868e-06,3.573269333333028e-06,0.9999211876311496,,,
200,7.099165500879551e-06,4.796378666665766e-06,0.9998561396678637,,,
250,8.372502172124229e-06,5.857925333333109e-06,0.9997960315866243,,,
aggregate,,,,6.289483198685923e-06,4.151042666666319e-06,0.9998806613371775
