,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,4.701080976399635e-06,3.185557333333861e-06,0.9999240989443637,,,
120,5.4274503430852396e-06,3.3974666666665777e-06,0.9998963683276869,,,
200,1.0591507416373964e-05,6.820559999999956e-06,0.9995574415817032,,,
250,1.6395667230365775e-05,9.820586666666463e-06,0.9988647773090408,,,
aggregate,,,,9.278926491556153e-06,5.806042666666714e-06,0.9995606715406987
