,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,3.304788079270775e-06,2.2588373333331356e-06,0.999961542721727,,,
120,7.751977439481003e-06,4.773082666666545e-06,0.9997939853136951,,,
200,6.38478851855463e-06,4.4570826666667815e-06,0.999853230151208,,,
250,6.9755543206253255e-06,4.8524053333334244e-06,0.9998227351782873,,,
aggregate,,,,6.104277089482933e-06,4.0853519999999715e-06,0.9998578733412293
