,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,4.6953520923473515e-06,3.213802666666357e-06,0.999936809532641,,,
120,6.550967857923906e-06,4.29054933333354e-06,0.9998817129626119,,,
200,1.0922008185718177e-05,7.030821333333427e-06,0.999687884839532,,,
250,1.0040901530131313e-05,6.305770666667064e-06,0.9997265789327223,,,
aggregate,,,,8.052307416530186e-06,5.210236000000097e-06,0.9998082465668767
