,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,6.789702379338543e-06,4.550639999999445e-06,0.9998603734830489,,,
120,9.108075798250084e-06,6.2830773333334505e-06,0.9997497035701655,,,
200,2.0104279105137777e-05,1.4085135111111579e-05,0.9987626898470581,,,
250,2.5490887512778396e-05,1.5897193777777614e-05,0.9981917157800898,,,
aggregate,,,,1.53732361988762e-05,1.0204011555555523e-05,0.9991411206700905
