,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,6.415266232632805e-06,4.077530666666618e-06,0.9998626804511067,,,
120,8.682397849033118e-06,4.479216000000225e-06,0.9997407930475221,,,
200,1.6719781927870743e-05,8.572634666666505e-06,0.9990016684452018,,,
250,1.669605506938653e-05,1.0853519999999815e-05,0.999022577624621,,,
aggregate,,,,1.21283752697308e-05,6.9957253333332915e-06,0.9994069298921129
