,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,3.3024476606168797e-06,2.255333333333452e-06,0.9999527468844586,,,
120,3.2621058583542846e-06,2.255642666666605e-06,0.9999535527062989,,,
200,6.697405814194144e-06,4.095770666666591e-06,0.9997974139561662,,,
250,6.871892618485418e-06,4.172383999999612e-06,0.9997831495217422,,,
aggregate,,,,5.033462987912681e-06,3.194782666666565e-06,0.9998717157671664
