,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,3.7995803768317406e-06,2.6553226666672113e-06,0.9999543500884983,,,
120,6.599986712444036e-06,4.874314666666613e-06,0.9998569808219853,,,
200,1.858437639946375e-05,1.3251358869841625e-05,0.9989852594996955,,,
250,1.083431585465402e-05,7.67532686984172e-06,0.999620810566123,,,
aggregate,,,,9.954564835848386e-06,7.114080768254292e-06,0.9996043502440755
