,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
60,6.343968984012888e-06,3.6384604444442214e-06,0.9999195919211814,,,
80,6.793780790774675e-06,3.843544888889609e-06,0.9999000146566261,,,
100,7.3471270273194375e-06,4.334240000000133e-06,0.9998839493456363,,,
aggregate,,,,6.828292267369001e-06,3.938748444444654e-06,0.9999011853078147
