,Ytrue_0,Ytrue_1,Ypred_0,Ypred_1
Ytrue_0,1.0,0.9878394050545787,0.9988619526472029,0.9875840476839755
Ytrue_1,0.9878394050545787,1.0,0.9869987007562634,0.9982336718544804
Ypred_0,0.9988619526472029,0.9869987007562634,1.0,0.9889015711760984
Ypred_1,0.9875840476839755,0.9982336718544804,0.9889015711760984,1.0
