,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
60,6.898783367367231e-06,4.019724799999974e-06,0.9998893597886016,,,
80,6.055863347937698e-06,3.7037333333337732e-06,0.9999071496984216,,,
100,6.840088758358296e-06,4.2842133333333765e-06,0.9998808901302436,,,
aggregate,,,,6.598245157887742e-06,4.002557155555708e-06,0.9998924665390888
