,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,6.976386248341008e-06,3.3437466666663265e-06,0.9998986977039032,,,
100,9.909292522189288e-06,5.024398400000067e-06,0.9997910869717099,,,
aggregate,,,,8.442839385265148e-06,4.184072533333197e-06,0.9998448923378065
