,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,1.4828700292722043e-05,9.63471093333316e-06,0.9993920152803561,,,
100,2.5132901856950725e-05,1.714364266666684e-05,0.9982595770364213,,,
aggregate,,,,1.9980801074836384e-05,1.3389176800000001e-05,0.9988257961583887
