,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,7.935044857396478e-06,4.5900480000005655e-06,0.9998303647818613,,,
100,1.033523996861716e-05,6.1532373333339805e-06,0.9997100220884046,,,
aggregate,,,,9.135142413006819e-06,5.371642666667273e-06,0.999770193435133
