,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,1.674839399969101e-05,6.230087999999853e-06,0.9993508041171671,,,
100,1.5485085254800993e-05,5.9726053333336e-06,0.99947966797004,,,
aggregate,,,,1.6116739627246e-05,6.101346666666727e-06,0.9994152360436035
