,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,6.483596317545782e-06,3.822821333333664e-06,0.9998960505480037,,,
100,9.622373786130242e-06,6.040741333333675e-06,0.9997663678025929,,,
aggregate,,,,8.052985051838011e-06,4.931781333333669e-06,0.9998312091752983
