,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,4.7150489439101495e-06,2.484432533333453e-06,0.9999181634632399,,,
100,1.5761768737296005e-05,8.85362773333356e-06,0.9990714655457336,,,
aggregate,,,,1.0238408840603078e-05,5.669030133333507e-06,0.9994948145044867
