,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,4.5549544208867595e-06,2.6554527999999624e-06,0.9998238807261656,,,
100,4.645064046462004e-06,2.5177696000001653e-06,0.9998162629106147,,,
aggregate,,,,4.600009233674382e-06,2.586611200000064e-06,0.99982007181839
