,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,1.2919816926408562e-05,7.71197760000013e-06,0.9996166112743952,,,
100,1.7703524105864495e-05,1.0025364800000003e-05,0.9992036448582315,,,
aggregate,,,,1.5311670516136527e-05,8.868671200000067e-06,0.9994101280663134
