,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,5.962204071202785e-06,3.559898666666459e-06,0.9998942469458443,,,
100,9.328331370138707e-06,5.261610666666389e-06,0.9997279542089781,,,
aggregate,,,,7.645267720670745e-06,4.410754666666424e-06,0.9998111005774112
