,Ytrue_0,Ytrue_1,Ytrue_2,Ypred_0,Ypred_1,Ypred_2
Ytrue_0,1.0,0.9994765117482205,0.9975182037614,0.9993317843584162,0.9992802967105112,0.9984099155578908
Ytrue_1,0.9994765117482205,1.0,0.9991667975348595,0.99830779387597,0.9988888293225169,0.998748292896768
Ytrue_2,0.9975182037614,0.9991667975348595,1.0,0.9956727457979542,0.9969831411501605,0.9979865693003297
Ypred_0,0.9993317843584162,0.99830779387597,0.9956727457979542,1.0,0.9997155659223558,0.9985390901871327
Ypred_1,0.9992802967105112,0.9988888293225169,0.9969831411501605,0.9997155659223558,1.0,0.9994723210049221
Ypred_2,0.9984099155578908,0.998748292896768,0.9979865693003297,0.9985390901871327,0.9994723210049221,1.0
