y_true,y_pred,residual
0.00121,0.0011922666666666683,1.7733333333331668e-05
0.00121,0.0012218333333333332,-1.1833333333333314e-05
0.00125,0.001268333333333334,-1.833333333333396e-05
0.00119,0.001180133333333333,9.866666666667051e-06
0.0012,0.001201933333333332,-1.933333333332043e-06
0.00123,0.0012448333333333291,-1.4833333333329158e-05
0.00118,0.0011708666666666672,9.133333333332869e-06
0.00119,0.0011957666666666665,-5.7666666666664635e-06
0.00122,0.0012399333333333344,-1.9933333333334432e-05
0.00117,0.0011499999999999976,2.0000000000002438e-05
0.00117,0.0011761333333333353,-6.133333333335289e-06
0.00121,0.0012254000000000013,-1.540000000000135e-05
0.00115,0.0011398666666666676,1.0133333333332351e-05
0.00116,0.0011606333333333317,-6.333333333317405e-07
0.0012,0.0012087333333333328,-8.733333333332859e-06
0.00114,0.0011324333333333353,7.566666666664664e-06
0.00115,0.001151066666666664,-1.0666666666640182e-06
0.00119,0.001197599999999997,-7.599999999996932e-06
0.00113,0.0011257666666666646,4.2333333333352974e-06
0.00114,0.0011443333333333325,-4.333333333332535e-06
0.00118,0.0011921333333333335,-1.2133333333333484e-05
0.00112,0.0011186999999999983,1.3000000000016037e-06
0.00113,0.0011398333333333336,-9.833333333333699e-06
0.00117,0.0011902999999999983,-2.029999999999827e-05
0.00111,0.0011175000000000017,-7.500000000001646e-06
0.00112,0.0011343333333333338,-1.4333333333333862e-05
0.00116,0.0011814666666666667,-2.1466666666666682e-05
0.0011,0.0011133,-1.3299999999999944e-05
0.00111,0.0011311333333333352,-2.1133333333335112e-05
0.00115,0.0011800666666666635,-3.006666666666353e-05
0.00109,0.0011040999999999974,-1.4099999999997361e-05
0.00111,0.0011184333333333345,-8.433333333334424e-06
0.00115,0.001163733333333331,-1.373333333333092e-05
0.00109,0.0010954333333333308,-5.433333333330773e-06
0.0011,0.001116200000000001,-1.6200000000000936e-05
0.00114,0.0011614333333333337,-2.1433333333333764e-05
0.00108,0.0010839999999999973,-3.999999999997278e-06
0.00109,0.0011019333333333306,-1.1933333333330551e-05
0.00113,0.0011450666666666654,-1.5066666666665443e-05
0.00107,0.0010841666666666677,-1.4166666666667752e-05
0.00109,0.0010992999999999977,-9.299999999997678e-06
0.00113,0.0011424666666666667,-1.2466666666666789e-05
0.00107,0.0010808666666666691,-1.0866666666669135e-05
0.00108,0.001097899999999998,-1.7899999999997996e-05
0.00113,0.0011427333333333342,-1.2733333333334257e-05
0.00106,0.0010690333333333347,-9.033333333334764e-06
0.00108,0.0010844666666666668,-4.466666666666811e-06
0.00112,0.0011329000000000033,-1.2900000000003404e-05
0.00106,0.001059533333333335,4.6666666666497943e-07
0.00107,0.00107976666666667,-9.76666666667003e-06
0.00112,0.0011274333333333366,-7.433333333336676e-06
0.00105,0.0010540999999999999,-4.099999999999937e-06
0.00107,0.0010735666666666702,-3.5666666666702047e-06
0.00111,0.0011234666666666692,-1.346666666666909e-05
0.00105,0.0010497666666666652,2.3333333333476654e-07
0.00106,0.0010690000000000005,-9.000000000000544e-06
0.00111,0.001112800000000001,-2.8000000000009354e-06
0.00104,0.0010467666666666652,-6.766666666665295e-06
0.00106,0.0010633000000000033,-3.300000000003387e-06
0.0011,0.0011117666666666667,-1.176666666666661e-05
0.00104,0.0010396666666666666,3.333333333333053e-07
0.00106,0.0010589666666666686,1.0333333333313165e-06
0.0011,0.0011041666666666635,-4.166666666663389e-06
0.00104,0.001033233333333332,6.766666666667897e-06
0.00105,0.0010542333333333324,-4.2333333333324785e-06
0.0011,0.0011030999999999964,-3.099999999996335e-06
0.00103,0.001039333333333335,-9.333333333334934e-06
0.00105,0.0010543999999999998,-4.39999999999989e-06
0.0011,0.001102066666666662,-2.0666666666619826e-06
0.00103,0.001037200000000001,-7.2000000000008255e-06
0.00105,0.0010539999999999996,-3.9999999999996635e-06
0.00109,0.0011008333333333293,-1.0833333333329278e-05
0.00103,0.0010300333333333308,-3.333333333075013e-08
0.00105,0.0010500333333333303,-3.333333333031645e-08
0.00109,0.001092299999999997,-2.299999999996966e-06
0.00103,0.001028466666666665,1.5333333333350692e-06
0.00105,0.0010487999999999969,1.200000000003065e-06
0.00109,0.0010924333333333291,-2.4333333333290737e-06
0.00102,0.0010266333333333322,-6.633333333332103e-06
0.00104,0.001047633333333331,-7.633333333331152e-06
0.00109,0.0010931333333333293,-3.1333333333292534e-06
0.00102,0.001021799999999999,-1.7999999999988511e-06
0.00104,0.0010425666666666674,-2.56666666666747e-06
0.00109,0.001090599999999997,-5.999999999968704e-07
0.00102,0.0010204666666666664,-4.6666666666628047e-07
0.00104,0.0010405000000000017,-5.000000000018011e-07
0.00109,0.0010901333333333304,-1.333333333303731e-07
0.00102,0.0010201333333333326,-1.333333333325415e-07
0.00104,0.0010403333333333352,-3.3333333333525686e-07
0.00109,0.0010901666666666635,-1.6666666666350846e-07
0.00102,0.0010199999999999996,4.336808689942018e-19
0.00104,0.0010400666666666688,-6.666666666887283e-08
0.00109,0.0010900333333333304,-3.333333333031645e-08
0.00102,0.0010199999999999996,4.336808689942018e-19
0.00104,0.001040000000000002,-2.168404344971009e-18
0.00109,0.001089999999999997,3.0357660829594124e-18
0.00102,0.0010200333333333328,-3.333333333270169e-08
0.00104,0.0010400333333333354,-3.333333333552062e-08
0.00109,0.0010900333333333304,-3.333333333031645e-08
0.00102,0.0010199999999999996,4.336808689942018e-19
0.00104,0.001040000000000002,-2.168404344971009e-18
0.00109,0.001089999999999997,3.0357660829594124e-18
0.00102,0.001014552666666667,5.447333333333162e-06
0.00104,0.001036933333333335,3.066666666664934e-06
0.00109,0.0010894999999999974,5.000000000026684e-07
0.00102,0.0010198259999999995,1.7400000000057127e-07
0.00104,0.001039900000000002,9.999999999788824e-08
0.00109,0.0010899666666666637,3.333333333638798e-08
0.00102,0.0010186986666666665,1.3013333333335847e-06
0.00104,0.0010391000000000018,8.999999999981245e-07
0.00109,0.001089699999999997,3.0000000000298885e-07
0.00102,0.0010192366666666665,7.633333333335705e-07
0.00104,0.0010394333333333353,5.666666666646024e-07
