method,RMSE_mean,MAE_mean,R2_mean
RandomForest,3.892986682294094e-05,1.937615662222231e-05,0.9974597934353452
LinearRegression,1.6556042157542443e-05,1.2327476876962463e-05,0.9994997590919475
